Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.LANDevice.1.X_HW_WLANForISP,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.X_HW_WlanEnable,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.X_HW_WlanPowerValue,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.X_HW_Wps2Enable,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.LANDeviceNumberOfEntries,false,2026-01-14T14:57:46.666Z,false,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.LANInterfaces,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.Layer3Forwarding,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.ConnectionRequestPassword,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",xsd:string,2026-01-14T14:57:46.682Z,,,,
InternetGatewayDevice.ManagementServer.ConnectionRequestURL,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"http://10.97.125.210:7547/77e0fcc35117048f18b5b0f174931494",xsd:string,2026-01-14T14:59:23.573Z,,,,
InternetGatewayDevice.ManagementServer.ConnectionRequestUsername,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",xsd:string,2026-01-14T14:57:46.682Z,,,,
InternetGatewayDevice.ManagementServer.DefaultActiveNotificationThrottle,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.EnableCWMP,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.InformParameter,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.InformParameterNumberOfEntries,false,2026-01-14T14:57:46.666Z,false,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.ManageableDevice,true,2026-01-14T14:57:46.666Z,false,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.ManageableDeviceNotificationLimit,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.ManageableDeviceNumberOfEntries,false,2026-01-14T14:57:46.666Z,false,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.NATDetected,false,2026-01-14T14:57:46.666Z,false,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.ParameterKey,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",xsd:string,2026-01-14T14:59:23.573Z,,,,
InternetGatewayDevice.ManagementServer.Password,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.PeriodicInformEnable,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"true",xsd:boolean,2026-01-14T14:57:46.682Z,,,,
InternetGatewayDevice.ManagementServer.PeriodicInformInterval,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"300",xsd:unsignedInt,2026-01-14T14:57:46.682Z,,,,
InternetGatewayDevice.ManagementServer.PeriodicInformTime,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",xsd:dateTime,2026-01-14T14:57:46.682Z,,,,
InternetGatewayDevice.ManagementServer.UDPConnectionRequestAddress,false,2026-01-14T14:57:46.666Z,false,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.UDPConnectionRequestAddressNotificationLimit,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.URL,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.UpgradesManaged,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.Username,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.X_HW_CertPassword,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.X_HW_CheckUrlRandom,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.X_HW_DSCP,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.X_HW_EnableCertificate,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.X_HW_RandomInformEnable,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.ManagementServer.X_HW_Syntax,false,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.Optical,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.QueueManagement,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.Services,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.Time,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.TraceRouteDiagnostics,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.UDPEchoConfig,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.UploadDiagnostics,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
InternetGatewayDevice.UserInterface,true,2026-01-14T14:57:46.666Z,true,2026-01-14T14:57:46.666Z,"",,,,,,
